Adjective,Subjectivity
national, 0.30430555555555566
large, 0.5894285714285715
old, 0.5972972972972972
open, 0.3716666666666668
sweet, 0.6448750000000001
wooden, 0.23384615384615387
square, 0.1726506024096385
senior, 0.4323076923076921
fast, 0.6272058823529415
yellow, 0.23805555555555552
unique, 0.7377272727272727
corduroy, 0.18864197530864193
strict, 0.7198507462686565
exciting, 0.7735632183908046
new, 0.4954411764705882
speedy, 0.6421052631578945
biggest, 0.5523529411764706
thin, 0.6272857142857143
civilized, 0.7124999999999999
international, 0.25948717948717953
European, 0.22779411764705879
closest, 0.3668918918918919
overhead, 0.3032894736842106
sad, 0.6256923076923078
favorite, 0.7985526315789473
curly, 0.4112328767123289
Hispanic, 0.25819444444444445
creamy, 0.5056790123456789
thick, 0.562463768115942
smooth, 0.487027027027027
potential, 0.6721621621621623
crocheted, 0.21894736842105264
pleasant, 0.7158461538461537
circular, 0.2317391304347826
current, 0.45905405405405403
young, 0.6303389830508471
Brazilian, 0.22586666666666663
professional, 0.5950000000000001
plain, 0.6914814814814813
historical, 0.37163934426229506
frozen, 0.20390243902439031
daily, 0.14119402985074622
different, 0.6642857142857143
spicy, 0.7156962025316457
last, 0.2866666666666665
white, 0.24945945945945946
selfish, 0.7038961038961038
lacy, 0.334375
narrow, 0.4866197183098589
black, 0.21878378378378374
blonde, 0.2955263157894736
best, 0.7973170731707316
old-time, 0.569078947368421
strange, 0.7816923076923076
individual, 0.44
blue, 0.21969696969696975
everyday, 0.3717567567567565
purple, 0.21999999999999992
token, 0.4336363636363636
creative, 0.7837662337662336
English, 0.21560975609756097
prestigious, 0.6729729729729731
red, 0.2803076923076922
Vietnamese, 0.18824324324324318
mini, 0.5344117647058825
mixed, 0.4992647058823529
lavish, 0.6969642857142856
Japanese, 0.15041095890410955
green, 0.2017142857142857
long, 0.5952380952380953
slow, 0.5956790123456792
entrepreneurial, 0.45986301369863025
designated, 0.30625000000000013
gold, 0.20492957746478874
playful, 0.7074074074074074
solid, 0.27796610169491515
internal, 0.32200000000000006
junior, 0.4381250000000001
